Node,Selected
S38,S74
S13,S52
S13,S37
S52,S37
S13,S71
S44,S65
S46,S43
S65,S29
S13,S6
S52,S6
S37,S6
S13,S70
S52,S70
S37,S70
S66,S5
S75,S1
S14,S1
S29,S57
S71,S63
S75,S53
S75,S30
S52,S30
S52,S24
S53,S24
S30,S24
S37,S41
S66,S51
S23,S51
S74,S49
S66,S49
S23,S49
S51,S49
S75,S19
S70,S15
S25,S15
S29,S22
S30,S39
S70,S67
S53,S67
S63,S59
S38,S3
S74,S3
S37,S73
S70,S73
S41,S73
S37,S56
S64,S56
S42,S2
S76,S31
S46,S31
S52,S61
S63,S61
S57,S16
S63,S35
S64,S34
S72,S11